epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.37919,1.245,3.71115,1.65434,0.00454,1,0.19688,0.07014,0.99672,3.24787,1.61328,1.666e-05,1.666e-05,1.666e-05
2,2.24042,1.23434,3.71984,1.64943,0.00485,1,0.12281,0.05713,0.96945,3.24256,1.59569,4.09628e-05,4.09628e-05,4.09628e-05
3,3.14157,0.98908,3.59678,1.50448,0.00509,0.95238,0.13522,0.07928,0.9856,3.24346,1.57972,6.44409e-05,6.44409e-05,6.44409e-05
4,4.04189,1.03545,3.55635,1.4598,0.00674,0.95238,0.15903,0.09116,0.94539,3.2364,1.49697,8.70943e-05,8.70943e-05,8.70943e-05
5,4.98976,0.90651,3.33979,1.38319,0.00807,0.95238,0.19543,0.12638,0.96832,3.21001,1.53096,0.000108923,0.000108923,0.000108923
6,5.84106,0.98715,3.09993,1.4902,0.00946,0.95238,0.2043,0.12494,0.96526,3.1875,1.50063,0.000129927,0.000129927,0.000129927
7,6.6894,0.98526,3.08689,1.43568,0.0108,0.95238,0.26006,0.16056,0.97844,3.16517,1.52117,0.000150107,0.000150107,0.000150107
8,7.50205,0.85806,2.80353,1.30273,0.00956,0.90476,0.29457,0.18659,0.95658,3.16383,1.56327,0.000169461,0.000169461,0.000169461
9,8.40993,0.9801,2.75724,1.38446,0.01107,0.90476,0.41563,0.24606,0.92983,3.10503,1.55754,0.000187991,0.000187991,0.000187991
10,9.28138,0.86888,2.57773,1.30785,0.01278,0.90476,0.27895,0.17319,0.96777,3.08933,1.55319,0.000205697,0.000205697,0.000205697
11,10.0959,0.88284,2.43611,1.32384,0.01985,0.95238,0.29817,0.17455,1.08317,3.06885,1.62787,0.000222578,0.000222578,0.000222578
12,10.9008,0.94848,2.29238,1.41292,0.02607,0.95238,0.30556,0.21487,1.0458,3.07413,1.57685,0.000238634,0.000238634,0.000238634
13,11.7077,0.93531,2.11996,1.43192,0.02451,0.83333,0.23541,0.17597,1.09465,2.98727,1.58514,0.000253865,0.000253865,0.000253865
14,12.5005,0.91087,2.08156,1.31488,0.95721,0.02857,0.33272,0.25312,1.1439,2.92576,1.65593,0.000268272,0.000268272,0.000268272
15,13.328,0.91376,2.06055,1.31476,1,0.08552,0.37293,0.24267,1.29564,2.89082,1.91054,0.000281854,0.000281854,0.000281854
16,14.1339,0.95097,2.02904,1.32271,0.96194,0.08571,0.37346,0.24899,1.28331,2.87454,1.89929,0.000294611,0.000294611,0.000294611
17,15.0285,0.90278,1.90004,1.32266,0.84604,0.18125,0.34415,0.19607,1.3694,2.6213,2.12523,0.000306544,0.000306544,0.000306544
18,15.977,0.81114,1.7589,1.29699,0.85124,0.20275,0.34567,0.21658,1.39796,2.47552,2.11826,0.000317652,0.000317652,0.000317652
19,16.8774,0.9026,1.85565,1.33908,0.67888,0.21429,0.35022,0.22526,1.35129,2.42406,2.014,0.000327935,0.000327935,0.000327935
