epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71318,1.245,3.71115,1.65434,0.00454,1,0.19688,0.07014,0.99672,3.24787,1.61328,1.666e-05,1.666e-05,1.666e-05
2,2.81228,1.23519,3.71989,1.64985,0.00484,1,0.10241,0.04991,0.97414,3.23655,1.59176,3.95883e-05,3.95883e-05,3.95883e-05
3,3.86457,0.99375,3.60124,1.50905,0.00508,0.95238,0.12278,0.07124,0.98954,3.2378,1.5731,6.00426e-05,6.00426e-05,6.00426e-05
4,4.94841,1.04045,3.56864,1.46317,0.00654,0.95238,0.13967,0.08589,0.98497,3.24249,1.55417,7.80229e-05,7.80229e-05,7.80229e-05
5,5.96035,0.90317,3.3669,1.39073,0.00791,0.95238,0.17364,0.1057,0.88845,3.21854,1.46332,9.35292e-05,9.35292e-05,9.35292e-05
6,6.86305,0.98594,3.17167,1.49898,0.00871,0.95238,0.19625,0.12452,0.91119,3.19871,1.46957,0.000106562,0.000106562,0.000106562
7,7.76685,1.01849,3.16186,1.464,0.00935,0.95238,0.21743,0.14066,0.96308,3.17996,1.49479,0.00011712,0.00011712,0.00011712
8,8.61144,0.85235,2.92042,1.29959,0.00992,0.95238,0.24259,0.16318,0.97543,3.17755,1.50028,0.000125204,0.000125204,0.000125204
9,9.5116,0.97895,2.92938,1.37995,0.01079,0.95238,0.34844,0.19532,1.02563,3.14926,1.53363,0.000130814,0.000130814,0.000130814
10,10.4918,0.86591,2.79829,1.32308,0.01203,0.95238,0.32316,0.1694,1.04564,3.12418,1.5631,0.000133951,0.000133951,0.000133951
11,13.0078,0.84727,2.79264,1.53847,0.01346,0.95238,0.29469,0.15884,0.98917,3.05144,1.52831,0.000134613,0.000134613,0.000134613
12,13.893,0.8505,2.95129,1.48895,0.01344,0.95238,0.25145,0.17218,0.94934,3.0264,1.49672,0.000132801,0.000132801,0.000132801
13,14.7188,0.84061,2.92272,1.46702,0.01374,0.95238,0.35509,0.25718,0.91334,2.90172,1.48734,0.000128515,0.000128515,0.000128515
14,15.5176,0.81186,2.73346,1.42226,0.01362,0.95238,0.33651,0.25492,0.87151,2.87265,1.46417,0.000121755,0.000121755,0.000121755
15,16.3144,0.77525,2.65582,1.49366,0.01399,0.95238,0.3578,0.28635,0.88203,2.86589,1.48539,0.000112522,0.000112522,0.000112522
16,17.1137,0.76301,2.68618,1.36682,0.01313,0.95238,0.35878,0.28552,0.86711,2.85186,1.44669,0.000100814,0.000100814,0.000100814
17,17.9501,0.70418,2.551,1.3229,0.01246,0.95238,0.36167,0.29137,0.93224,2.9013,1.50758,8.6632e-05,8.6632e-05,8.6632e-05
18,18.8024,0.70743,2.40378,1.30856,0.0121,0.95238,0.3285,0.26567,0.94884,2.89636,1.5143,6.99762e-05,6.99762e-05,6.99762e-05
19,19.6084,0.66656,2.45566,1.38551,0.01149,0.95238,0.3134,0.25244,0.92395,2.85655,1.48889,5.08463e-05,5.08463e-05,5.08463e-05
20,20.3963,0.72418,2.64565,1.41839,0.01142,0.95238,0.31347,0.2529,0.90818,2.8217,1.48246,2.92425e-05,2.92425e-05,2.92425e-05
